17;49;14;873;0.0195503;0.0195503;0;0.0195503;0;0;0;0;0;0;0;0.0195503;0;0;0.0195503;0;
17;49;19;267;0.0195503;0;0;0.0195503;0.0195503;0;0.0195503;0;0.0195503;0.00977517;0.00977517;0.00977517;0;0;0.0195503;0;
17;49;23;662;0.0195503;0.00977517;0.00977517;0.00977517;0.0195503;0;0.0195503;0;0;0.0195503;0.0195503;0.0195503;0;0;0.0195503;0;
17;49;28;56;0.00977517;0;0.0195503;0;0;0.0195503;0;0.0195503;0;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0;
17;49;32;452;0.0195503;0.0195503;0.0195503;0.0195503;0;0.0195503;0.0195503;0.0195503;0.0195503;0;0;0;0.0195503;0.0195503;0.0195503;0;
17;49;36;847;0.0195503;0.0195503;0.0195503;0.00977517;0.0195503;0.0195503;0.0195503;0.0195503;0.0195503;0;0.0195503;0;0;0;0;0.0195503;
17;49;41;247;0.00977517;0.00977517;0;0;0.0195503;0.0195503;0.0195503;0;0;0;0;0;0;0;0.00977517;0;
17;49;45;643;0;0;0;0.0195503;0;0;0;0;0;0;0;0;0;0;0;0;
17;49;50;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;49;54;432;0.0195503;0;0;0;0;0;0;0;0;0.0195503;0;0;0.0195503;0;0;0;
17;49;58;828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;50;3;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00977517;0;0;
17;50;7;617;0;0;0;0.0195503;0;0;0.0195503;0;0;0;0;0;0;0;0;0;
17;50;12;11;0.0195503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;50;16;406;0;0.0195503;0.0195503;0;0.0195503;0;0.0195503;0;0;0.0195503;0.00977517;0;0.0195503;0;0.0195503;0;
17;50;20;802;0;0;0;0;0.0195503;0;0;0;0;0;0;0;0.0195503;0;0;0;
17;50;25;195;0;0;0;0;0;0;0;0;0;0;0;0;0.0195503;0;0;0;
17;50;29;591;0.0195503;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;0.00977517;
